Atoll	Pays	Longitude	Latitude
Rose	American Samoa	-168,15551	-14,54579
Swain Island	American Samoa	-171,07723	-11,05634
Maria Ouest	Australes	-154,70341	-21,80965
Ashmore Atoll	Australia	144,48388	-10,25113
Ashmore Reef	Australia	123,10465	-12,24183
Boot Reef	Australia	144,69462	-10,00396
Bougainville Reef	Australia	147,11115	-15,49464
Cato Reef	Australia	155,55512	-23,21151
Clerke	Australia	119,35437	-17,32627
Diane Bank	Australia	149,59689	-16,03458
Elizabeth Reef	Australia	159,09449	-29,45279
Finders Reef A	Australia	148,18955	-17,40075
Finders Reef B	Australia	148,45776	-17,31903
Finders Reef C	Australia	148,44842	-17,57259
Finders Reef D	Australia	148,46454	-17,82870
Flora Reef	Australia	147,73299	-16,75127
Hibernia Reef	Australia	123,35766	-11,97565
Holmes Reef A	Australia	147,87050	-16,42086
Holmes Reef C	Australia	148,02433	-16,45657
Imperieuse	Australia	118,94155	-17,58936
Keen Reef	Australia	155,70305	-21,19548
Lihou Reef	Australia	151,75892	-17,35250
Marion Reef	Australia	152,28517	-19,11291
Meillish	Australia	155,86848	-17,39145
Mermaid	Australia	119,62936	-17,09998
Middleton Reef	Australia	159,08123	-29,93748
North Scott Reef	Australia	121,88513	-13,95529
Osprey Reef	Australia	146,62007	-13,90801
Saumarez Reef	Australia	153,61122	-21,80573
Seringapatam Reef	Australia	122,01389	-13,66665
South Keeling Islands	Australia	96,87584	-12,15448
Willis Group	Australia	149,85242	-16,31105
Hogsty Reef	Bahamas	-73,81628	21,68709
Glover's Reef	Belize	-87,78821	16,82715
Lighthouse Reef	Belize	-87,55632	17,33471
Turneffe Atoll	Belize	-87,86213	17,36197
Rocas Atoll	Brazil	-33,74760	-3,86313
Blenheim Reef	Chagos	72,47398	-5,21613
Cauvin Bank	Chagos	72,34208	-6,81872
Diego Garcia	Chagos	72,45454	-7,33062
Egmont Islands	Chagos	71,35376	-6,65952
Great Chagos Bank	Chagos	72,15432	-6,24623
Peros Banhos	Chagos	71,85401	-5,35322
Pitt Bank	Chagos	71,38325	-7,10807
Salomon Islands	Chagos	72,24361	-5,33214
Speakers Bank	Chagos	72,36503	-4,88647
Victory Bank	Chagos	72,23093	-5,53614
Dongsha	China Sea	116,81426	20,68469
Huangyan Dao	China Sea	117,76073	15,14389
Zhongsha	China Sea	114,47531	15,85375
Albuquerque	Colombia	-81,85598	12,16557
Banco Serrana	Colombia	-80,27775	14,37163
Courtown	Colombia	-81,47915	12,42361
Roncador Bank	Colombia	-80,06490	13,52585
Manihiki	Cook	-160,99544	-10,42728
Manuae	Cook	-158,94075	-19,26968
Palmerston	Cook	-163,15197	-18,04697
Penrhyn	Cook	-157,96747	-9,00067
Pukapuka	Cook	-165,85111	-10,89436
Rakahanga	Cook	-161,09064	-10,01767
Suwarrow	Cook	-163,13016	-13,28239
Banc de la Zélée	Eparses	46,23991	-12,37680
Banc du Geyser	Eparses	46,54238	-12,33606
Bassas da India	Eparses	39,67931	-21,47930
Europa	Eparses	40,36564	-22,36133
Adolphus Reef	Fiji	-179,33007	-16,29435
Bell Reef	Fiji	-178,94944	-17,04734
BF	Fiji	177,65574	-16,89565
